nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
2	0	0	1	0	514	533	0	519	38	0
3	0	0	1	0	518	527	0	513	38	0
4	0	0	1	0	523	475	0	516	38	0
5	0	0	1	0	516	474	0	513	38	0
6	0	0	1	0	516	432	0	510	38	0
7	0	0	1	0	518	448	0	515	38	0
8	0	0	1	0	516	451	0	515	38	0
9	0	0	1	0	519	447	0	517	38	0
10	0	0	1	0	511	450	0	514	38	0
11	0	0	1	0	526	470	0	522	38	0
12	0	0	1	0	513	459	0	514	38	0
13	0	0	1	0	511	467	0	515	38	0
14	0	0	1	0	521	474	0	513	38	0
15	0	0	1	0	515	473	0	509	38	0
0	0	0	1	0	516	476	0	514	38	0
1	0	0	1	0	508	509	0	512	38	0
2	0	0	1	0	517	494	0	517	38	0
3	0	0	1	0	512	504	0	516	38	0
4	0	0	1	0	519	497	0	511	38	0
5	0	0	1	0	522	504	0	513	38	0
6	0	0	1	0	515	480	0	512	38	0
7	0	0	1	0	519	505	0	514	38	0
8	0	0	1	0	519	509	0	520	38	0
9	0	0	1	0	515	526	0	509	38	0
10	0	0	1	0	513	510	0	511	38	0
11	0	0	1	0	514	499	0	514	38	0
12	0	0	1	0	513	508	0	513	38	0
13	0	0	1	0	522	505	0	517	38	0
14	0	0	1	0	513	512	0	520	38	0
15	0	0	1	0	511	540	0	511	38	0
0	0	0	1	0	513	509	0	518	38	0
1	0	0	1	0	510	524	0	520	38	0
